,TELDA,QUARTER,REV SME - POTS - TARGET,REV SME - NON POTS - TARGET,REV GOV - TARGET,REV PS - TARGET,REV SOE - TARGET,HSI ALL SEGMENT- TARGET,BW-TARGET,OCA-TARGET,NETMONK-TARGET,EAZY-TARGET,PIJAR SEKOLAH-TARGET,C3MR-TARGET,LTS-TARGET,VISIT-TARGET,REV SME - POTS - REALIASASI,REV SME - NON POTS - REALIASASI,REV GOV - REALIASASI,REV PS - REALIASASI,REV SOE - REALIASASI,HSI ALL SEGMENT- REALIASASI,BW-REALIASASI,OCA-REALIASASI,NETMONK-REALIASASI,EAZY-REALIASASI,PIJAR SEKOLAH-REALIASASI,C3MR-REALIASASI,LTS-REALIASASI,VISIT-REALIASASI,REV SME - POTS - ACH,REV SME - NON POTS - ACH,REV GOV - ACH,REV PS - ACH,REV SOE - ACH,HSI ALL SEGMENT- ACH,BW-ACH,OCA-ACH,NETMONK-ACH,EAZY-ACH,PIJAR SEKOLAH-ACH,C3MR-ACH,LTS-ACH,VISIT-ACH,REV SME - POTS - POINT,REV SME - NON POTS - POINT,REV GOV - POINT,REV PS - POINT,REV SOE - POINT,HSI ALL SEGMENT- POINT,BW-POINT,OCA-POINT,NETMONK-POINT,EAZY-POINT,PIJAR SEKOLAH-POINT,C3MR-POINT,LTS-POINT,VISIT-POINT,TOTAL POINT,RANK
21, MALANG ,Q3,7903265422,1303713532,1668804022,2646973820,5684154418,372,2463,9,86,36,3,98%,56%,100%,7403065510,1462485585,1575499704,1365179636,618889433,0,0,0,0,0,0,0.00%,0.00%,0,93.67%,110.00%,94.41%,51.58%,10.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.78,5.5,4.72,2.58,0.54,0,0,0,0,0,0,0,0,0,46.13,7
22, NGANJUK ,Q3,3617335149,448769280,337447695,56629168,199621038,185,738,6,43,18,  - ,98%,56%,100%,3436110795,359028030,-768849708,71349133,177719374,0,0,0,0,0,0,0.00%,0.00%,0,94.99%,80.00%,-227.84%,110.00%,89.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.25,4,-11.39,5.5,4.45,0,0,0,0,0,0,0,0,0,35.81,8
23, PONOROGO ,Q3,3961280609,597762350,552940697,87644219,339982690,228,873,6,53,23,3,98%,56%,100%,4118531784,528646971,776950623,61987132,171322329,0,0,0,0,0,0,0.00%,0.00%,0,103.97%,88.44%,110.00%,70.73%,50.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36.39,4.42,5.5,3.54,2.52,0,0,0,0,0,0,0,0,0,52.37,3
24, BATU ,Q4,6273914301,983694937,203463367,3135037708,439053855,289,1693,7,67,28,3,98%,56%,100%,5884521254,972781200,120025491,1432906621,214786739,0,0,0,0,0,0,0.00%,0.00%,0,93.79%,98.89%,58.99%,45.71%,48.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.83,4.94,2.95,2.29,2.45,0,0,0,0,0,0,0,0,0,45.45,6
25, BLITAR ,Q4,5149235928,760589357,680704919,167004181,466614868,227,1223,6,52,23,  - ,98%,56%,100%,5785587455,490249336,1259195583,118079683,367402193,0,0,0,0,0,0,0.00%,0.00%,0,110.00%,64.46%,110.00%,70.70%,78.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.5,3.22,5.5,3.54,3.94,0,0,0,0,0,0,0,0,0,54.69,1
26, BOJONEGORO ,Q4,4088861989,657020916,556235389,109055609,269373501,233,1229,6,54,21,  - ,98%,56%,100%,3859197251,473806214,683261382,103046354,354783185,0,0,0,0,0,0,0.00%,0.00%,0,94.38%,72.11%,110.00%,94.49%,110.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.03,3.61,5.5,4.72,5.5,0,0,0,0,0,0,0,0,0,52.36,3
27, KEDIRI ,Q4,6527990480,965640991,1304321065,2233443238,504586233,287,1514,7,66,27,3,98%,56%,100%,6789509613,599891183,1832154213,608062522,207946029,0,0,0,0,0,0,0.00%,0.00%,0,104.01%,62.12%,110.00%,27.23%,41.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36.4,3.11,5.5,1.36,2.06,0,0,0,0,0,0,0,0,0,48.43,5
28, MADIUN ,Q4,4138146754,1086299878,1650669938,229036087,999819951,245,1400,6,56,22,3,98%,56%,100%,4058915569,776630567,1071071028,162279345,763473991,0,0,0,0,0,0,0.00%,0.00%,0,98.09%,71.49%,64.89%,70.85%,76.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34.33,3.57,3.24,3.54,3.82,0,0,0,0,0,0,0,0,0,48.51,4
29, MALANG ,Q4,8192429165,1351413649,1623689167,2911875363,5095391452,367,2450,9,86,36,3,98%,56%,100%,7412061742,1584319368,1575499704,1170470890,618889433,0,0,0,0,0,0,0.00%,0.00%,0,90.47%,110.00%,97.03%,40.20%,12.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,31.67,5.5,4.85,2.01,0.61,0,0,0,0,0,0,0,0,0,44.63,7
30, NGANJUK ,Q4,3749685781,465188797,328325051,62296452,178944352,184,743,6,43,18,  - ,98%,56%,100%,3527111865,398606196,-768849708,61172963,177719374,0,0,0,0,0,0,0.00%,0.00%,0,94.06%,85.69%,-234.17%,98.20%,99.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.92,4.28,-11.71,4.91,4.97,0,0,0,0,0,0,0,0,0,35.37,8
31, PONOROGO ,Q4,4106215477,619633209,537992364,96415401,304767388,225,876,6,54,22,3,98%,56%,100%,4471261467,572583459,776950623,53146218,171322329,0,0,0,0,0,0,0.00%,0.00%,0,108.89%,92.41%,110.00%,55.12%,56.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.11,4.62,5.5,2.76,2.81,0,0,0,0,0,0,0,0,0,53.8,2
